country,sex,suicide_rate
Timor-Leste,Female,7.80
Timor-Leste,Male,15.30
Togo,Female,33.00
Togo,Male,54.70
Tonga,Female,6.00
Tonga,Male,10.80
"Trinidad and Tobago",Female,6.60
"Trinidad and Tobago",Male,28.00
Tunisia,Female,4.30
Tunisia,Male,7.60
Turkey,Female,1.50
Turkey,Male,4.90
Turkmenistan,Female,4.10
Turkmenistan,Male,13.30
Uganda,Female,52.20
Uganda,Male,41.90
Ukraine,Female,7.20
Ukraine,Male,51.30
"United Arab Emirates",Female,1.60
"United Arab Emirates",Male,5.60
"United Kingdom of Great Britain and Northern Ireland",Female,4.20
"United Kingdom of Great Britain and Northern Ireland",Male,13.00
"United Republic of Tanzania",Female,14.40
"United Republic of Tanzania",Male,32.60
"United States of America",Female,8.80
"United States of America",Male,27.90
Uruguay,Female,10.40
Uruguay,Male,39.00
Uzbekistan,Female,2.20
Uzbekistan,Male,12.80
Vanuatu,Female,4.30
Vanuatu,Male,12.10
"Venezuela (Bolivarian Republic of)",Female,1.50
"Venezuela (Bolivarian Republic of)",Male,10.30
"Viet Nam",Female,10.10
"Viet Nam",Male,20.60
Yemen,Female,4.90
Yemen,Male,11.90
Zambia,Female,16.00
Zambia,Male,38.70
Zimbabwe,Female,26.40
Zimbabwe,Male,62.80
